diff_in,old_geoname_id,new_geoname_id,old_city_name,new_city_name,old_country_name,new_country_name,old_country_code,new_country_code,old_subdivision_codes,new_subdivision_codes
city_name,3878253,3878253,Oficina Maria Elena,Maria Elena,Chile,Chile,CL,CL,AN,AN
city_name,2038482,2038482,Bamiantong,Muling,China,China,CN,CN,HL,HL
city_name,734973,734973,Neoi Epivates,Néoi Epivátes,Greece,Greece,GR,GR,"B, 54","B, 54"
city_name,3114866,3114866,Urtuella,Ortuella,Spain,Spain,ES,ES,"PV, BI","PV, BI"
city_name,1263195,1263195,Mehekar,Mehkar,India,India,IN,IN,MH,MH
city_name,651322,651322,Korppoo,Korpo,Finland,Finland,FI,FI,19,19
city_name,2953336,2953336,Bad Sooden-Allendorf,Bad Sooden-Allendor,Germany,Germany,DE,DE,HE,HE
city_name,1846149,1846149,Shitsukoku,Taejeon,South Korea,South Korea,KR,KR,27,27
city_name,1219002,1219002,Atamyrat,Kerki,Turkmenistan,Turkmenistan,TM,TM,L,L
city_name,708088,708088,Grigor'yevka,Hryhorivka,Ukraine,Ukraine,UA,UA,32,32
city_name,2942159,2942159,Buckeburg,Bueckeburg,Germany,Germany,DE,DE,NI,NI
city_name,2036579,2036579,Ji'an Shi,Ji'an,China,China,CN,CN,JL,JL
city_name,11588590,11588590,Hexi,Hexicun,China,China,CN,CN,HL,HL
city_name,3623846,3623846,El Coco,Coco,Costa Rica,Costa Rica,CR,CR,A,A
city_name,1948005,1948005,Kwangmyong,Gwangmyeong,South Korea,South Korea,KR,KR,41,41
city_name,3622440,3622440,Perez,Bajo Perez,Costa Rica,Costa Rica,CR,CR,SJ,SJ
city_name,502517,502517,Raynovskiy,Raynovskoye,Russia,Russia,RU,RU,VOR,VOR
city_name,2948287,2948287,Bischofsheim an der Rhon,Bischofsheim in der Rhoen,Germany,Germany,DE,DE,BY,BY
city_name,1584784,1584784,Co Do,Co GJo,Vietnam,Vietnam,VN,VN,CT,CT
city_name,3623068,3623068,Limon,Alto Limon,Costa Rica,Costa Rica,CR,CR,SJ,SJ
city_name,3110967,3110967,Salvatierra,Agurain / Salvatierra,Spain,Spain,ES,ES,"PV, VI","PV, VI"
city_name,9999147,9999147,Amingdai,Amingdaicun,China,China,CN,CN,HE,HE
city_name,8527332,8527332,Xiangyang,Aimin,China,China,CN,CN,HL,HL
city_name,3625008,3625008,Aeropuerto,San Jose,Costa Rica,Costa Rica,CR,CR,H,H
city_name,3123531,3123531,El Corrillo,Zalla,Spain,Spain,ES,ES,"PV, BI","PV, BI"
city_name,3624145,3624145,Concepcion,Alto Concepcion,Costa Rica,Costa Rica,CR,CR,SJ,SJ
city_name,8178437,8178437,Budatsin,Budatin,Belarus,Belarus,BY,BY,HO,HO
city_name,7578466,7578466,Laochenggou,Laochenggoucun,China,China,CN,CN,HL,HL
city_name,3114697,3114697,Oyon,Oion / Oyon,Spain,Spain,ES,ES,"PV, VI","PV, VI"
city_name,8392189,8392189,Ovdiieva Nyva,Ovdiiva Nyva,Ukraine,Ukraine,UA,UA,32,32
city_name,2948287,2948287,Bischofsheim an der Rhon,Bischofsheim in der Rhoen,Germany,Germany,DE,DE,BY,BY
geoname_id,11011829,8570271,Kaizuka,Kaizuka,Japan,Japan,JP,JP,11,11
geoname_id,10983708,1862539,Hirakata,Hirakata,Japan,Japan,JP,JP,11,11
geoname_id,3622279,12365431,Pozos,Pozos,Costa Rica,Costa Rica,CR,CR,SJ,SJ
geoname_id,9085637,11823625,Asahimachi,Asahimachi,Japan,Japan,JP,JP,1,1
geoname_id,3686737,3686736,Charala,Charala,Colombia,Colombia,CO,CO,SAN,SAN
geoname_id,3471909,3471910,Apucarana,Apucarana,Brazil,Brazil,BR,BR,PR,PR
geoname_id,1858419,1858421,Kumamoto,Kumamoto,Japan,Japan,JP,JP,43,43
geoname_id,1857900,11818373,Kyuhoji,Kyuhoji,Japan,Japan,JP,JP,27,27
geoname_id,3449304,6321040,Sao Desiderio,Sao Desiderio,Brazil,Brazil,BR,BR,BA,BA
geoname_id,3104152,3104151,Aleksandrow,Aleksandrow,Poland,Poland,PL,PL,24,24
geoname_id,8412180,8411661,Okawa,Okawa,Japan,Japan,JP,JP,2,2
geoname_id,11474033,11618158,Takadai,Takadai,Japan,Japan,JP,JP,1,1
geoname_id,582203,582200,Anan'ino,Anan'ino,Russia,Russia,RU,RU,YAR,YAR
geoname_id,6946887,2642470,Milton Bryan,Milton Bryan,United Kingdom,United Kingdom,GB,GB,"ENG, CBF","ENG, CBF"
geoname_id,11885795,3667816,Sopetran,Sopetran,Colombia,Colombia,CO,CO,ANT,ANT
geoname_id,6324187,3391368,Porto Grande,Porto Grande,Brazil,Brazil,BR,BR,AP,AP
geoname_id,3687908,8182762,Calima,Calima,Colombia,Colombia,CO,CO,VAC,VAC
geoname_id,2807214,2807213,Wittorf,Wittorf,Germany,Germany,DE,DE,NI,NI
geoname_id,2818107,6551118,Usedom,Usedom,Germany,Germany,DE,DE,MV,MV
geoname_id,1895778,1856115,Nagata,Nagata,Japan,Japan,JP,JP,45,45
geoname_id,3670162,3791503,San Antonio,San Antonio,Colombia,Colombia,CO,CO,TOL,TOL
geoname_id,3815364,3530276,Contla,Contla,Mexico,Mexico,MX,MX,TLA,TLA
geoname_id,9009219,1859319,Kitakata,Kitakata,Japan,Japan,JP,JP,7,7
geoname_id,1894616,1854345,Okinawa,Okinawa,Japan,Japan,JP,JP,47,47
geoname_id,11037422,11027068,Magome,Magome,Japan,Japan,JP,JP,11,11
geoname_id,2110556,2110554,Yamagata,Yamagata,Japan,Japan,JP,JP,6,6
geoname_id,9009219,1859319,Kitakata,Kitakata,Japan,Japan,JP,JP,7,7
geoname_id,1857418,1857795,Maeda,Maeda,Japan,Japan,JP,JP,47,47
geoname_id,9865994,11001656,Motobu,Motobu,Japan,Japan,JP,JP,47,47
geoname_id,3451704,3451705,Registro,Registro,Brazil,Brazil,BR,BR,SP,SP
geoname_id,10983708,1862539,Hirakata,Hirakata,Japan,Japan,JP,JP,11,11
geoname_id,9893851,1991873,Xi'ancun,Xi'ancun,China,China,CN,CN,GX,GX
geoname_id,3621143,3623101,Uruca,Uruca,Costa Rica,Costa Rica,CR,CR,SJ,SJ
geoname_id,692036,693555,Svoboda,Svoboda,Ukraine,Ukraine,UA,UA,21,21
geoname_id,11661331,11712062,Krishnapuram,Krishnapuram,India,India,IN,IN,TN,TN
geoname_id,1854383,1854381,Okayama,Okayama,Japan,Japan,JP,JP,33,33
geoname_id,3208071,12358897,Huettenberg,Huettenberg,Germany,Germany,DE,DE,HE,HE
geoname_id,1768345,1768346,Kampung Kepayang,Kampung Kepayang,Malaysia,Malaysia,MY,MY,8,8
geoname_id,3396757,6317436,Lagoa do Mato,Lagoa do Mato,Brazil,Brazil,BR,BR,MA,MA
geoname_id,3406887,3406883,Bacuri,Bacuri,Brazil,Brazil,BR,BR,MA,MA
geoname_id,6318126,6319187,Ribeirao Cascalheira,Ribeirao Cascalheira,Brazil,Brazil,BR,BR,MT,MT
geoname_id,10983708,1862539,Hirakata,Hirakata,Japan,Japan,JP,JP,11,11
geoname_id,3448135,8604059,Sao Vicente,Sao Vicente,Brazil,Brazil,BR,BR,PR,PR
geoname_id,9285690,1617331,Ban Kruat,Ban Kruat,Thailand,Thailand,TH,TH,31,31
geoname_id,3623492,11239199,Hatillo,Hatillo,Costa Rica,Costa Rica,CR,CR,SJ,SJ
geoname_id,3463122,6319556,Formoso do Araguaia,Formoso do Araguaia,Brazil,Brazil,BR,BR,TO,TO
geoname_id,3178221,8959664,Comunanza,Comunanza,Italy,Italy,IT,IT,"57, AP","57, AP"
geoname_id,3398381,6319712,Icatu,Icatu,Brazil,Brazil,BR,BR,MA,MA
geoname_id,11562389,11562163,Lomas de Santa Fe,Lomas de Santa Fe,Mexico,Mexico,MX,MX,CMX,CMX
geoname_id,6324149,6317803,Novo Sao Joaquim,Novo Sao Joaquim,Brazil,Brazil,BR,BR,MT,MT
geoname_id,9009219,1859319,Kitakata,Kitakata,Japan,Japan,JP,JP,7,7
geoname_id,3458383,3458382,Luciara,Luciara,Brazil,Brazil,BR,BR,MT,MT
geoname_id,3449273,11959362,Sao Domingos,Sao Domingos,Brazil,Brazil,BR,BR,SC,SC
geoname_id,3393239,6319587,Palmeirante,Palmeirante,Brazil,Brazil,BR,BR,TO,TO
geoname_id,10983708,1862539,Hirakata,Hirakata,Japan,Japan,JP,JP,11,11
geoname_id,3208071,12358897,Huettenberg,Huettenberg,Germany,Germany,DE,DE,HE,HE
geoname_id,3445552,3445551,Vargem,Vargem,Brazil,Brazil,BR,BR,MG,MG
geoname_id,1971081,8401185,Pancor,Pancor,Indonesia,Indonesia,ID,ID,JI,JI
geoname_id,3064349,3064348,Tasovice,Tasovice,Czechia,Czechia,CZ,CZ,"41, 412","41, 412"
geoname_id,6319704,6317214,Governador Eugenio Barros,Governador Eugenio Barros,Brazil,Brazil,BR,BR,MA,MA
geoname_id,10983708,1862539,Hirakata,Hirakata,Japan,Japan,JP,JP,11,11
geoname_id,8412403,8411800,Tomita,Tomita,Japan,Japan,JP,JP,2,2
geoname_id,6324276,3662009,Tapaua,Tapaua,Brazil,Brazil,BR,BR,AM,AM
geoname_id,3387423,6318704,Sitio Novo do Tocantins,Sitio Novo do Tocantins,Brazil,Brazil,BR,BR,TO,TO
geoname_id,1261005,10699832,Otur,Otur,India,India,IN,IN,MH,MH
geoname_id,9009219,1859319,Kitakata,Kitakata,Japan,Japan,JP,JP,7,7
geoname_id,3405323,3405314,Bom Jesus,Bom Jesus,Brazil,Brazil,BR,BR,RN,RN
geoname_id,2130103,11823493,Higashimachi,Higashimachi,Japan,Japan,JP,JP,1,1
geoname_id,2520870,6360971,Bollullos de la Mitacion,Bollullos de la Mitacion,Spain,Spain,ES,ES,"AN, SE","AN, SE"
geoname_id,651515,651514,Koria,Koria,Finland,Finland,FI,FI,9,9
geoname_id,3390903,3390902,Quixelo,Quixelo,Brazil,Brazil,BR,BR,CE,CE
geoname_id,1607000,1607001,Roi Et,Roi Et,Thailand,Thailand,TH,TH,45,45
geoname_id,3459431,7771981,Juranda,Juranda,Brazil,Brazil,BR,BR,PR,PR
geoname_id,6316373,12199880,Alvorada,Alvorada,Brazil,Brazil,BR,BR,RS,RS
geoname_id,2061927,7839635,Sandstone,Sandstone,Australia,Australia,AU,AU,WA,WA
geoname_id,1883481,8401890,Yandang,Yandang,China,China,CN,CN,ZJ,ZJ
subdivision_codes,353229,353229,Al 'Ashir min Ramadan,Al 'Ashir min Ramadan,Egypt,Egypt,EG,EG,,SHR
subdivision_codes,11468245,11468245,Trincity,Trincity,Trinidad and Tobago,Trinidad and Tobago,TT,TT,,TUP
subdivision_codes,353229,353229,Al 'Ashir min Ramadan,Al 'Ashir min Ramadan,Egypt,Egypt,EG,EG,,SHR
subdivision_codes,353229,353229,Al 'Ashir min Ramadan,Al 'Ashir min Ramadan,Egypt,Egypt,EG,EG,,SHR
subdivision_codes,353229,353229,Al 'Ashir min Ramadan,Al 'Ashir min Ramadan,Egypt,Egypt,EG,EG,,SHR
